member_id,cluster,cost,decision_score,value,uplift_score,p_control,p_treat,reward_app_activity,population_fit,preferred_offer_type,maturity_flag,total_spend,frequency,recency_h
522B72F9438C4075907733273F11F07E,Dormant Value Customers,4.0,100.1577,278.61,0.3738,0.3842,0.758,1.0,0.6667,Mixed,mature,835.83,3,72
127F660955454BD0A5A0D7B0A6A48C62,High-Value Responsive,3.5,80.3327,260.1167,0.3223,0.4835,0.8058,1.0,1.0,Mixed,mature,780.35,3,162
6CF884A6C5AE4B2DACCB6D3108028FEF,Dormant Value Customers,4.0,79.6356,291.315,0.2871,0.4772,0.7643,0.5,0.6667,Mixed,mature,1165.26,4,84
C7A5D7BAB83A4D82A7F977B3D586F3D4,High-Value Responsive,3.5,64.4769,159.8186,0.4253,0.3703,0.7956,0.5714,0.6667,Mixed,mature,1118.73,7,54
4D0EBB94A5A94FE6AFD9350C7B1477E4,High-Value Responsive,3.5,62.3379,144.1175,0.4568,0.3565,0.8133,0.75,1.0,Mixed,mature,1152.94,8,42
B153707A382046218A55E0122B4DCF37,High-Value Responsive,3.5,60.5187,192.042,0.3334,0.4584,0.7917,0.6,1.0,Mixed,mature,960.21,5,66
EF375083FCF44EB8BC2131591E8BD2D1,Dormant Value Customers,4.0,60.2366,206.6467,0.3109,0.4336,0.7445,0.6667,0.5,Mixed,mature,619.94,3,18
7398C8784F3B436E9D7E312F1472CE26,High-Value Responsive,3.5,57.4433,136.3286,0.447,0.3611,0.8082,0.7143,0.75,Mixed,mature,954.3,7,24
FF2113310ABE4C6687569BDD8F028FE3,High-Value Responsive,3.5,57.3102,162.29,0.3747,0.4306,0.8053,1.0,0.8,Mixed,mature,973.74,6,12
A5CDE6EE9DF740B5AFD639BB94A007BA,Dormant Value Customers,4.0,56.4844,148.006,0.4087,0.4071,0.8158,1.0,1.0,Mixed,mature,740.03,5,102
A12FBA072DAE4E3AAE2E1B4B92B92AA1,High-Value Responsive,3.5,55.3336,168.6367,0.3489,0.4583,0.8072,1.0,0.8,Mixed,mature,1011.82,6,114
0A3C4A0C066D49F1AD4EB52987A0FB05,High-Value Responsive,3.5,52.8051,120.5378,0.4671,0.3445,0.8116,1.0,1.0,Mixed,mature,1084.84,9,96
D820ADAC939D46078131F147D99D3F85,Dormant Value Customers,4.0,52.3796,115.41,0.4885,0.3421,0.8306,0.7143,0.6667,Mixed,mature,807.87,7,144
9CA3E1EE578741E0B8B74F876A606C93,High-Value Responsive,3.5,51.0706,135.0357,0.4041,0.3858,0.79,0.8571,1.0,Mixed,mature,945.25,7,48
6DFA8F6398064341B55B4BF04338CE9D,Dormant Value Customers,4.0,48.689,131.43,0.4009,0.3505,0.7514,0.8333,1.0,Mixed,mature,788.58,6,18
7085F1DA461144378C92631A65C93EDA,High-Value Responsive,3.5,48.5216,123.845,0.4201,0.3752,0.7952,0.6667,0.5,Mixed,mature,743.07,6,42
25C258DF0487470C8D1CFED9FECA14CD,High-Value Responsive,3.5,47.3181,124.62,0.4078,0.4054,0.8131,0.5,0.75,Mixed,mature,996.96,8,24
0A7C7AF5E814481B8E4A4A3B6E2F8697,High-Value Responsive,3.5,47.0664,123.0471,0.411,0.4082,0.8191,1.0,0.8,Mixed,mature,861.33,7,60
ABC210958D314238BBEA0BAF7086D613,High-Value Responsive,3.5,46.161,121.686,0.4081,0.3711,0.7792,1.0,0.5,Mixed,mature,608.43,5,66
9250D51A392F4F2691EABFF6851DCF66,Dormant Value Customers,4.0,44.1548,124.3375,0.3873,0.4248,0.8121,1.0,0.5,Mixed,mature,497.35,4,102
A73CF044395D46EA804F688490AD9227,High-Value Responsive,3.5,43.9889,161.1743,0.2946,0.4933,0.7879,1.0,1.0,Mixed,mature,1128.22,7,60
8654992551964472A654F68702EE5156,High-Value Responsive,3.5,43.167,115.8414,0.4029,0.3939,0.7968,1.0,1.0,Mixed,mature,810.89,7,60
67819E7DF4754CCC8E3386DB19411ED1,High-Value Responsive,3.5,42.5364,117.9557,0.3903,0.4441,0.8343,0.8571,1.0,Mixed,mature,825.69,7,138
73AFDECA19E349B98F09E928644610F8,High-Value Responsive,3.5,42.2994,131.997,0.347,0.4599,0.8069,0.9,1.0,Mixed,mature,1319.97,10,24
83313F9487FE41CA990D393127406161,High-Value Responsive,3.5,41.8663,118.1362,0.384,0.4593,0.8433,0.625,0.75,Mixed,mature,945.09,8,18
